ponížit se</b> \n    <b>snížit se</b> (k čemu) \n    <b>zdiskreditovat se</b> (něčím) 
abased	<b>abased</b><br><b>degradován</b>
abasement	<b>abasement</b><br><b>pokoření</b>\n    <b>ponížení</b>
abash	<b>abash</b><br><b>zahanbit</b>\n    <b>zakřiknout</b>\n    <b>zastrašit</b>
abashed	<b>abashed</b><br><b>zastrašen</b>
abashing	<b>abashing</b><br><b>zastrašování</b>
abashment	<b>abashment</b><br><b>rozpaky</b>
abasia	<b>abasia</b><br><b>abázie</b> 
abasic	<b>abasic</b><br><b>abazický</b> 
abate	<b>abate</b><br><b>odečítat</b>\n    <b>polevit</b> (o větru)\n    <b>poskytovat slevu</b>\n    <b>rušit</b>\n    <b>skoncovat s</b>\n    <b>slábnout</b>\n    <b>snížit</b>\n    <i>[práv.]</i> <b>stát se neplatným</b>\n    <b>ustávat</b>\n    <b>učinit přítrž čemu</b>\n    <i>[práv.]</i> <b>zastavit</b>\n    <b>zmenšit</b> \n    <b>zmenšovat</b>\n    <b>zmírnit</b>\n    <b>zmírnění</b> \n    <i>[práv.]</i> <b>zrušit</b>
abated	<b>abated</b><br><b>polevil</b> \n    <b>rušil</b> \n    <b>slábl</b> \n    <b>snížil</b> \n    <b>ustával</b> \n    <b>zastavil</b> \n    <b>zmenšoval</b> \n    <b>zmírnil</b> \n    <b>zrušil</b> 
abatement	<b>abatement</b><br><b>odečet</b> \n    <b>potírání</b>\n    <b>rabat</b>\n    <i>[fin.]</i> <b>sleva</b>\n    <b>snížení</b>\n    <b>srážka</b>\n    <i>[práv.]</i> <b>zastavení</b>\n    <b>zmenšení</b> \n    <b>zmírnění</b>\n    <i>[práv.]</i> <b>zrušení</b>\n    <b>úleva</b>
abatement of a nuisance	<b>abatement of a nuisance</b><br><b>potírání zlořádů</b>
abatements	<b>abatements</b><br><b>povolení</b> \n    <b>zmírnění</b> \n    <b>zrušení</b> 
abating	<b>abating</b><br><b>polevující</b> 
abatis	<b>abatis</b><br><b>záseky</b> (obranná překážka z poražených stromů se zaostřenými větvemi) 
abattoir	<b>abattoir</b><br><b>jatky</b> 
abaxial	<b>abaxial</b><br><b>nesouosý</b> 
abbacy	<b>abbacy</b><br><b>opatství</b> 
abbatial	<b>abbatial</b><br><b>abatyšský</b> \n    <b>opatský</b> 
abbe	<b>abbe</b><br><b>abbé</b> 
abbess	<b>abbess</b><br><b>abatyše</b>
abbey	<b>abbey</b><br><b>budova opatství</b>\n    <b>opatství</b> 
abbeys	<b>abbeys</b><br><i>pl.</i> <b>budovy opatství</b>
abbot	<b>abbot</b><br><b>opat</b>
abbots	<b>abbots</b><br><i>pl.</i> <b>opati</b>
Abbott	<b>Abbott</b><br><i>[jmén.]</i> <b>Abbott</b> (příjmení) 
abbreviate	<b>abbreviate</b><br><b>zestručnit</b>\n    <b>zkracovat</b>\n    <b>zkrátit</b> (zpravidla slovo)
abbreviated	<b>abbreviated</b><br><b>zkrácený</b> 
abbreviating	<b>abbreviating</b><br><b>zkracujíc</b> \n    <b>zkracující</b> 
abbreviation	<b>abbreviation</b><br><b>zkratka</b> (zkratka slova) \n    <b>zkrácení</b> 
abbreviations	<b>abbreviations</b><br><i>pl.</i> <b>zkratky</b> 
Abby	<b>Abby</b><br><i>[jmén.]</i> <b>Abby</b> (příjmení, ženské křestní jméno) 
ABC	<b>ABC</b><br><b>abeceda</b> 
abc	<b>abc</b><br><b>abecední</b> 
ABC's	<b>ABC's</b><br><b>abeceda</b> 
abcoulomb	<b>abcoulomb</b><br><b>coulomb</b> 
ABD	<b>ABD</b><br><i>[zkr.]</i> <b>All But Dissertation</b>
abdicate	<b>abdicate</b><br><b>abdikovat</b>
abdicated	<b>abdicated</b><br><b>abdikoval</b> \n    <b>vzdal se funkce</b> 
abdication	<b>abdication</b><br><b>abdikace</b>\n    <b>odstoupení z funkce</b> 
abdomen	<b>abdomen</b><br><b>břicho</b>\n    <b>zadeček</b> (část těla hmyzu) 
abdomens	<b>abdomens</b><br><b>břicha</b>
abdominal	<b>abdominal</b><br><b>abdominální</b> \n    <b>břišní</b> 
abdominal aorta	<b>abdominal aorta</b><br><b>břišní aorta</b> 
abdominal cavity	<b>abdominal cavity</b><br><b>břišní dutina</b> 
abdominal delivery	<b>abdominal delivery</b><br><i>[med.]</i> <b>porod císařským řezem</b> 
abdominal muscle	<b>abdominal muscle</b><br><b>břišní svaly</b> 
abdominal wall	<b>abdominal wall</b><br><b>břišní stěna</b> 
abdominous	<b>abdominous</b><br><b>břichatý</b> 
ABDR	<b>ABDR</b><br><i>[zkr.] [voj.]</i> <b>Aircraft Battle Damage Repair</b> 
abduct	<b>abduct</b><br><b>unést</b> ("ženu, dítě")
abducted	<b>abducted</b><br><b>unesen</b>
abduction	<b>abduction</b><br><b>únos</b>
abductions	<b>abductions</b><br><i>[med.]</i> <b>abdukce</b> \n    <b>odtažení</b> \n    <b>upažení</b> 
abductor	<b>abductor</b><br><b>únosce</b>
abductors	<b>abductors</b><br><i>pl.</i> <b>únosci</b>
abducts	<b>abducts</b><br><b>odtahovat</b> 
abeam	<b>abeam</b><br><b>ze strany</b> 
abecedarian	<b>abecedarian</b><br><b>abecední</b> \n    <b>začátečník</b> \n    <b>žák</b> 
abed	<b>abed</b><br><b>upoután na lůžko</b> \n    <b>v posteli</b> 
Abel	<b>Abel</b><br><i>[male] [jmén.] [náb.]</i> <b>Ábel</b> (Vlastní jméno, biblická postava) 
abele	<b>abele</b><br><b>topol bílý</b> 
Abelian	<b>Abelian</b><br><b>týkající se Ábela</b> 
Abelian group	<b>Abelian group</b><br><b>abelovská grupa</b> 
abelmosk	<b>abelmosk</b><br><b>ibišek</b> 
Abelson	<b>Abelson</b><br><i>[jmén.]</i> <b>Abelson</b> (příjmení) 
abend	<b>abend</b><br><b>abnormální ukončení</b> 
Aberdeen	<b>Aberdeen</b><br><b>Aberdeen</b> \n    <i>[jmén.]</i> <b>město - Velká Británie</b> 
Abernathy	<b>Abernathy</b><br><i>[jmén.]</i> <b>Abernathy</b> (příjmení) 
aberrance	<b>aberrance</b><br><b>deviace</b> \n    <b>odchylka</b> \n    <b>vyšinutí</b> 
aberrancy	<b>aberrancy</b><br><b>odchylka</b> \n    <b>poblouznění</b> 
aberrant	<b>aberrant</b><br><b>aberující</b> \n    <b>nenormální</b>\n    <b>vyšinutý</b> 
aberration	<b>aberration</b><br><b>aberace</b> \n    <b>odchylka</b> \n    <b>úchylka</b> 
abet	<b>abet</b><br><b>navádět</b>\n    <b>ponoukat</b>
abetment	<b>abetment</b><br><b>podněcování</b>\n    <b>ponoukání</b>
abetted	<b>abetted</b><br><b>napomáhal</b> 
abetter	<b>abetter</b><br><b>spoluviník</b>
abetting	<b>abetting</b><br><b>napomáhání</b> \n    <b>navádějící</b> 
abettor	<b>abettor</b><br><b>podněcovatel</b>\n    <b>spoluviník</b>
abeyance	<b>abeyance</b><br><b>latentní stav</b> \n    <b>nerozhodnutý stav</b> \n    <b>pozastavení</b> \n    <b>suspenze</b> 
abfarad	<b>abfarad</b><br><b>absolutní farad</b> 
abhenry	<b>abhenry</b><br><b>absolutní henry</b> 
abhor	<b>abhor</b><br><b>děsit se</b> (čeho)\n    <b>ošklivit si</b>
abhorred	<b>abhorred</b><br><b>ošklivil si</b> 
abhorrence	<b>abhorrence</b><br><b>averze</b> (k čemu) \n    <b>odpor</b> (k čemu) \n    <b>zhnusení</b> (nad něčím; čím) 
abhorrent	<b>abhorrent</b><br><b>odporný</b> 
abidance	<b>abidance</b><br><b>dodržování</b> \n    <b>setrvávání</b> 
abide	<b>abide</b><br><b>dodržet</b> \n    <b>dodržovat</b> \n    <b>snášet</b> \n    <b>snést</b> \n    <b>strpět</b> \n    <b>vydržet</b> \n    <b>vystát</b> \n    <b>vyčkat</b> 
abide by	<b>abide by</b><br><b>být věrný</b> \n    <b>dodržovat</b> \n    <b>respektovat</b> \n    <b>zůstat věrný</b> \n    <b>řídit se</b> 
abided	<b>abided</b><br><b>dodržoval</b> \n    <b>setrval</b> \n    <b>snesl</b> \n    <b>snášel</b> \n    <b>strpěl</b> 
abiding	<b>abiding</b><br><b>nepomíjející</b> \n    <b>trvalý</b> 
Abidjan	<b>Abidjan</b><br><i>[jmén.]</i> <b>hl.m. - Pobřeží Slonoviny</b> 
abient	<b>abient</b><br><b>negativní</b> 
Abigail	<b>Abigail</b><br><i>[female] [jmén.]</i> <b>ženské křestní jméno</b> 
Abilene	<b>Abilene</b><br><i>[jmén.]</i> <b>město - Spojené státy americké</b> 
abilities	<b>abilities</b><br><i>pl.</i> <b>schopnosti</b>
ability	<b>ability</b><br><b>dovednost</b> \n    <b>důvtip</b> \n    <b>schopnost</b>\n    <b>vlohy</b>\n    <b>zdatnost</b> \n    <b>způsobilost</b> \n    <b>zručnost</b> 
ability to	<b>ability to</b><br><b>schopen (něčeho)</b> 
ability to damage plant	<b>ability to damage plant</b><br><i>[eko.]</i> <b>schopnost poškodit rostlinu</b> 
ability to pay	<b>ability to pay</b><br><b>platební schopnost</b> \n    <b>solventnost</b> 
ability to search host	<b>ability to search host</b><br><i>[eko.]</i> <b>schopnost vyhledat hostitele</b> 
abiogenesis	<b>abiogenesis</b><br><b>abiogeneze</b> \n    <b>prvoplození</b> 
abiogenetic	<b>abiogenetic</b><br><b>abiogenetický</b> 
abiogenic landscape	<b>abiogenic landscape</b><br><i>[eko.]</i> <b>abiogenní krajina</b> 
abioseston	<b>abioseston</b><br><i>[eko.]</i> <b>abioseston</b> 
abiotic environmental component	<b>abiotic environmental component</b><br><i>[eko.]</i> <b>abiotická složka prostředí</b> 
abiotic factor	<b>abiotic factor</b><br><i>[eko.]</i> <b>abiotický faktor</b> 
